N°,Nombre / Descripción, PRECIO POR UNIDAD X MAYOR,CANT. MINIMA X MAYOR, PRECIO X MAYOR,TOTAL,LINK DE PRODUCTOS
,Papel Crepé Fucsia X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-fucsia-x-10-unidades-16281005
,Papel Crepé Lila X 10 Unidades, S/  2.60 ,1, S/  2.60 ,,https://clip.com.pe/producto/papel-crepe-lila-x-10-unidades-16281006
,Papel Crepé Marrón X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-marron-x-10-unidades-16281007
,Papel Crepé Melón X 10 Unidades, S/  2.60 ,1, S/  2.60 ,,https://clip.com.pe/producto/papel-crepe-melon-x-10-unidades-16281008
,Papel Crepé Morado X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-morado-x-10-unidades-16281009
,Papel Crepé Naranja X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-naranja-x-10-unidades-16281010
,Papel Crepé Negro X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-negro-x-10-unidades-16281011
,Papel Crepé Rojo X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,
,Papel Crepé Rosado X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,https://clip.com.pe/producto/papel-crepe-marron-x-10-unidades-16281007
,Papel Crepé Verde  Limón X 10 Unidades, S/  2.60 ,1, S/  2.60 ,,
,Papel Crepé Verde Oscuro X 10 Unidades, S/  2.60 ,2, S/  5.20 ,,
,Papel Fotocopia Chamex A4 75Gr Paquete X 500 Hojas, S/  10.20 ,10, S/  102.00 ,,https://clip.com.pe/producto/papel-fotocopia-chamex-a4-75gr-paquete-x-500-hojas-199
,Papel Kraft Monolúcido 49 Gr 70 X 100 Cm, S/  0.19 ,500, S/  95.00 ,,https://clip.com.pe/producto/papel-kraft-monolucido-49-gr-70-x-100-cm-54323
,Papel Lustre - Amarillo, S/  0.18 ,100, S/  18.00 ,,https://clip.com.pe/producto/papel-lustre-amarillo-5000346001
,Papel Seda Negro Cuadernillo X 24 Und, S/  1.95 ,1, S/  1.95 ,,https://clip.com.pe/producto/papel-seda-negro-cuadernillo-x-24-und-16297010
,Papelógrafo Rayado 61 X 86 Cm 56 G Rollo X 50 Un, S/  0.19 ,50, S/  9.46 ,,https://clip.com.pe/producto/papelografo-rayado-61-x-86-cm-56-g-rollo-x-50-und-53871
,Perforador Artesco M-208 11 Hojas Celeste, S/  5.65 ,2, S/  11.30 ,,https://clip.com.pe/producto/perforador-artesco-m-208-11-hojas-celeste-28699001
,Perforador Artesco M-73 25 Hojas Negro, S/  8.10 ,2, S/  16.20 ,,https://clip.com.pe/producto/perforador-escolar-de-metal-faber-castell-u10-10-hojas-2652
,Perforador Escolar Artesco M-01 11 Hojas Azul, S/  5.31 ,3, S/  15.93 ,,https://clip.com.pe/producto/perforador-escolar-artesco-m-01-11-hojas-azul-28700001
,Pioner Universal Ove A4 2 Anillos 45 Mm Azul, S/  8.90 ,2, S/  17.80 ,,https://clip.com.pe/producto/pioner-universal-ove-a4-2-anillos-45-mm-azul-24399
,Pioner Universal Ove A4 2 Anillos 45 Mm Blanco, S/  8.90 ,3, S/  26.70 ,,https://clip.com.pe/producto/pioner-universal-vinifan-a4-2-anillos-45-mm-blanco-16368002
,Pioner Universal Ove A4 2 Anillos 45 Mm Negro, S/  8.90 ,3, S/  26.70 ,,https://clip.com.pe/producto/pioner-universal-artesco-a4-2-anillos-45-mm-negro-16367003
,Plastilina Jumbo Artesco X 12 Und, S/  3.01 ,6, S/  18.06 ,,https://clip.com.pe/producto/plastilina-jumbo-artesco-x-12-und-1925
,Plumón Artesco Fineliner Triangular X 12 Und, S/  6.93 ,6, S/  41.58 ,,
,Plumón Delgado Artesco Max 45 X 12 Und, S/  4.27 ,6, S/  25.62 ,,https://clip.com.pe/producto/plumon-delgado-artesco-max-45-x-12-und-3326
,Plumón Delgado Artesco Power Tips Punta Cónica X 12 Und, S/  6.78 ,4, S/  27.12 ,,
,Plumón Delgado Faber Castell Colorfest X 12 Und, S/  7.88 ,4, S/  31.52 ,,
,Plumón Delgado Faber Castell Fiesta 45 Estuche Rígido X 12 Und, S/  8.19 ,6, S/  49.14 ,,
,Plumón Delgado Faber Castell Fiesta 45 Estuche X 12 Und, S/  4.31 ,12, S/  51.72 ,,
,Plumón Delgado Faber Castell Fiesta 45 X 18 Und, S/  8.25 ,4, S/  33.00 ,,
,Plumón Indeleble Delgado Ove Dúo Azul, S/  1.07 ,12, S/  12.84 ,,https://clip.com.pe/producto/plumon-indeleble-delgado-ove-duo-azul-16497001
,Plumón Indeleble Delgado Ove Dúo Negro, S/  1.07 ,12, S/  12.84 ,,
,Plumón Indeleble Delgado Ove Dúo Rojo, S/  1.07 ,12, S/  12.84 ,,
,Plumón Indeleble Jumbo Ove E23 Azul, S/  0.66 ,12, S/  7.92 ,,https://clip.com.pe/producto/plumon-indeleble-grueso-artesco-multimax-a23-rojo-16406003
,Plumón Indeleble Jumbo Ove E23 Negro, S/  0.66 ,12, S/  7.92 ,,https://clip.com.pe/producto/plumon-indeleble-grueso-artesco-multimax-a23-azul-16406001
,Plumón Indeleble Jumbo Ove E23 Rojo, S/  0.66 ,12, S/  7.92 ,,https://clip.com.pe/producto/plumon-indeleble-grueso-artesco-multimax-a23-negro-16406002
,Plumón Jumbo Ove 47 Azul X 1 Und, S/  0.87 ,12, S/  10.44 ,,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-azul-16444001
,Plumón Jumbo Ove 47 Negro X 1 Und, S/  0.87 ,12, S/  10.44 ,,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-rojo-16444006
,Plumón Jumbo Ove 47 Rojo X 1 Und, S/  0.87 ,12, S/  10.44 ,,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-negro-16444005
,Plumón Jumbo Ove 47 Verde X 1 Und, S/  0.87 ,12, S/  10.44 ,,https://clip.com.pe/producto/plumon-para-pizarra-faber-castell-123-verde-16444008
,Plumón Jumbo Ove E47 X 12 Und, S/  8.30 ,4, S/  33.20 ,,
,Plumón Jumbo Ove E47 X 6 Und, S/  4.20 ,6, S/  25.20 ,,
,Plumón Para Pizarra Artesco Acrimax 123 Azul, S/  1.23 ,12, S/  14.76 ,,https://clip.com.pe/producto/plumon-para-pizarra-artesco-acrimax-123-azul-16402001
,Plumón Para Pizarra Artesco Acrimax 123 Negro, S/  1.23 ,12, S/  14.76 ,,https://clip.com.pe/producto/plumon-para-pizarra-artesco-acrimax-123-negro-16402002
,Plumón Para Pizarra Artesco Acrimax 123 Rojo, S/  1.23 ,12, S/  14.76 ,,https://clip.com.pe/producto/plumon-para-pizarra-artesco-123-rojo-16402003
,Plumón Para Pizarra Artesco Acrimax 123 Verde, S/  1.23 ,12, S/  14.76 ,,https://clip.com.pe/producto/plumon-para-pizarra-artesco-acrimax-123-verde-16402004
,Resaltador - Plumón Mini Grip Artesco X6 Pastel, S/  3.36 ,5, S/  16.80 ,,https://clip.com.pe/oficina/resaltadores
